내용,평점,공감수,작성일
노트5입니다. 처음부터 화면이 끊기고 로딩이 길어지는 꾹꾹 참으면서 했습니다. 그런데 오늘 서버와 연결이 되지 않는다면서 안되네요. 캐시클리어도 안되고. 다시 삭제하고 다운받아도 안됩니다. 다른 게임은 잘되는데 왜 얘만 안되나요?,1.0,9,2020-6-15
뽑기에 과금 욕심만 안부리면 즐겁게 하실수 있어요. 큰손 형님들의 서포터 카드도 쓸수 있어서... 다만... 뽑기를 하신다면... 밑도 끝도 없는 과금의 끝을 보실수 있을겁니다. 거기에 애캐가 생기기 까지 한다면... 밑도 끝도 없는 과금에 +@ 가 생길수도 있습니다. 다만 그렇게 욕심 안내도 다 충분히 플레이 할수 있다는게 엄청난 장점 같습니다.,5.0,36,2020-5-30
다른거 다 좋은데 일본섭에 나온 모션만이라고 미리 패치좀 해주시면 좋겠네요....이번 여름에 페이트 간판캐인 알트리아 펜드레건이 강화를 받는데 그때 같이 모션개편을 당겨서 미리 해주시면 좋겠습니다. 처음 하는 뉴비들한테 튜토리얼에서 엑스칼리버 모션개편버전으로 뙇 멋지게 보여주는게 게임에 더 빠져들게 할 수 있지 않겠습니까?? 이번여름 청밥을 시작으로 다른 서번트들도 조금씩이라도 모션들을 미리미리 가져와서 패치해 주시면 좋겠습니다 한국 페이트 그랜드 오더를 진심으로 좋아하고 응원하는 팬으로써 글을 올립니다!!,5.0,9,2020-6-17
다좋은데 이미깬 스테이지는 즉시완료(보상은 그 스테이지에 나오는 몹들에게서 나오는아이템 랜덤으로주고)해주는 기능좀 만들어 주면 안되나요? 시간도많이들고 노가다를 너무 많이 해야합니다 즉시완료기능 10000원으로 팔아도 살테니 제발좀 만들어주세요...,5.0,3,2020-6-21
다른건다괜찮은데 소환은 개념 따로 서번트따로 나누어주시면 안되나요? 서번트뽑기가 겁나힘들어요 5성4성뜨면 다개념이고 또스토리퀘다깨면 성정석을1개만 주는건 너무 아니라고 생각합니다 오래플레이하고겨우깻는데 겨우1개라뇨 이두문제만 해결하면 오랫동안 할수잇겟어요,1.0,3,2020-6-21
"원하는 서번트, 4,5성 너무 잘 안나온다. 하..... 내가 몇번을 뽑았는지 모르겠지만 이거 확률이 너무 극악이네. 50번은 넘게 뽑은것 같은데 4성 서번트가 단 한번도 안나온다는거 이거 실화입니까? 아주 대놓고 현질 유도를 시키네. 이거 빨리 고쳐야 됩니다. 확률이 극악입니다 다른 게임들쳐럼 확률을 높여야 되요 이 게임을 하는 이유는 만화에서 나온 서번트나 보구 연출을 보려고 하는거에요 이점 유의하셔야 합니다. 제발...! 저 서번트 소지칸 확장5번 했는데 확장이 안됐어요. 빨리 해주세요. 아이디는 만주의 주입니다.",2.0,37,2020-6-10
"무과금도 재밌게 플레이 할 수있는 게임. 가챠는 운빨이다. 스토리는 1부 한정 6, 7장이 제일 재밌다. 저성 서번트로도 공카에 있는 공략을 보면 (1부 5장까지) 플레이 가능. 6장부터 슬슬 어려워 지기 시작. 그래도 이벤트로 배포 서번트를 줘서 좋음. 가챠하라고 가챠돌 도 잘 줌(?). 최애캐와 함께하면 너무 재밌는 게임. 하지만 최애캐 얻기 힘들수도 있는게 함정. 그리고 그곳은 지옥이지.",4.0,58,2020-5-18
제가 용량 부족으로 게임을 지웠었다가 다시 깔았는데 100레벨이었던 우리 마스터가 갑자기 2레벨이 되어있었습니다 성정석 고이 모아 뽑았던 서번트들도 다 없어지고 이게 도대체 무슨 일일까요 ???????????? 원래 레벨로 되돌릴 수 없나요!!?!?!?!??!?!?!?!??!?!?!? 진짜 답답해요 구글 아이디로 했습니다 되돌릴 수 있는지 답좀 주세요 ?,5.0,33,2020-4-28
"정말 좋은 게임입니다. 타입문의 방대한 세계관으로 가챠 , 게임성,불편의성을 스토리로 씹어먹는 게임입니다. 아 물론 1부 1장5장은 스토리리가.. 좀 그렇지만요 스토리를 미는 재미도 있고, 고난이도 공략하는 재미도 있구요 아물론 그 앞은 지옥이다..",5.0,24,2020-4-28
아니 게임하는데 자꾸 화면이 멈춰요 지금 깐지 일주일 됐는데 그제부터 자꾸 화면이 멈추고 특히 메뉴에서 소환 칸을 누르면 화면이 검정색으로 변하면서 멈춰요 클릭하면 소리가 나는걸 보면 검은 화면 넘어에서 작동은 되는 것 같은데 화면이 넘어가는 검정색에서 멈춰요.... 버그인가요? 그것 의외에는 다 좋은데 무슨 문제인지 빨리 고쳐주시면 좋겠네요,2.0,22,2020-5-1
게임성 자체는 딱히 볼게없다. 가챠라는 시스템은 인내심만 있다면 자기가 꼭 뽑고싶은 서번트정도는 구할 수 있다. 이 게임을 하는 이유의 대부분은 각양각색의 캐릭터성과 보는 재미가있는 스토리 덕분이다.,4.0,13,2020-4-30
