내용,평점,공감수,작성일
자사돌리고 이틀 못했더니 죽어있었어요. 그건 그렇다치고 영웅템이 없어졌어요. 문의했어요. 시간이 지나서 복구안댐 이래요. 살까하다가 기분니가 나빠져서 겜 접었어요. ,1.0,89,2020-6-16
"현질 개유도 게임 73렙까지 키웠는데 슬슬 접으려함 돈독이 올라서인지 골드로 뽑는건 진짜 욕밖에 안나와서 현질 좀 해봤더니 개판 어짜피 흰색,녹색 탈것,소환수 위주로 줄거면 영웅색 박스는 왜만들어서 주냐 피곤하게 안해 얼마나 오래가나 보자",1.0,77,2020-6-16
"아키에이지나 리니지1.2m같은 특별함이 부족하다. 구체적으로 케릭터와 스킬, 아이텀, 몬스터등.. 하지만 소과금으로도 충분히 게임을 즐기기에 무리가없다. 스킬 의존도가 강한게임이다. 특징을 찾아보기 어렵다. 최적화가 잘되어있지만 식상한 전투방식과 양산형같은 케릭터 외형과 스킬은 질리기 쉬운거같다.",4.0,20,2020-6-3
갤럭시s8+ 기기사용중입니다. 타게임 리니지2m은 안팅기는데 v4만 게임접속도안되고 계속튕기네요,1.0,10,2020-6-17
"자동매크로 유저가 많고, 컨텐츠가 과금해야 어느정도 이용할수있다는점. 과금도 조금해선 안됨..그리고 공식카페의 유저들이야기를 듣질않음. 한국게임이라 중국게임 매출이싫어 시작했는데 컨텐츠와 서비스면에서 부족한점이 많습니다. 개선하지 않으면 갓겜은 될수없고 단명할듯합니다.",3.0,173,2020-5-18
피렌체5섭에 구글계정 인데요 케릭이갑자기 삭제되었네요 LD플레어 랙이심해서 폰으로 다시접속중에 에러 나서 다시들어가보니 케삭되어있네요 고객센터 글도 안올라가고 지금 머하자는겁니까,1.0,15,2020-6-19
"맵에따른 다양한 몬스터와 사냥방법이 아쉽다 필드의 불완전몹드 유저들의 협동과 역활분담으로 사냥할수있었으면 하고 개인던전이나 길드던전에서의 다양한 장비(무기,방어구)도 획득할수 있도록 해야만 같은서버내의 분쟁을 좀 막을수있고 같은서버의 단합으로 서버간의 쟁이 활성화 될수있기를",3.0,379,2020-6-1
"게임 재밌게하고있었는데 핸드폰 소프트웨어 업데이트 이후로는 멈춤현상이 너무 심해졌습니다. 혹시 저만의 문제인가싶었는데 아랫분이랑 증상이 똑같습니다. 1. 갤럭시 A9 2. 용량 부족 X , 소프트웨어 업뎃 이전에는 게임 실행 잘됌 3. 지웠다 깔아보기도했고 메모리 정리 등등 다해봤으나 증상이 똑같음. 갤A9쓰는 유저들은 다 똑같은 증상인것 같은데요.. 최적화 문제인지뭔지 모르겠으나 패치 한번만 부탁드립니다. 오랜만에 재밌는 게임 찾았는데 1달만에 접게 생겼습니다.. 지금 게임 진행이 아예 힘듭니다..",3.0,200,2020-5-15
기종 : 갤럭시 a9 프로 증상 : 게임중멈춤(껐다켜도반복) 이로인해 게임 진행불가 1. 저장 여유공간 90기가 2. 게임 재설치해도 증상 똑같음 (캐시 데이터 삭제도 똑같음) 이증상은 안드10 업데이트 이후 나타남. 어떻게 설명할건지? 빨리좀고쳐라 피드백 왜이렇게 느린지,1.0,176,2020-5-16
컴퓨터로 자사돌려놓고 일끝나고 와서보니 물약이없어 죽어있길래 마을에서 회복시켰는데 주무기가 사라지고 없네요 이런경우도있는가요...별것아닌 추적자의 훈장은 복구에 올라와있고...중요한 주무기는 사라지고없고 그만 접으란거죠...? 앞전에도 팔찌사라졌길래 거래소에서 다시 샀는데...주무기가 사라진건 도저히 못넘어가겠네요,1.0,334,2020-6-1
불법프로그램사용한적도 없는데 정지먹음 무과금이라서 정지시켯나? 다들과금하지마셔요 이딴게임에 땅치고후회합니다 다른좋은게임많아요,1.0,40,2020-6-25
"이건무슨상황인가요?? 오늘 날짜로 1년간 정지라는데 '비정상게임 기록이 확인되어,,,,,' 핸드폰 두개로 일할때나 집에서 거의 자동 사냥만 하는데...과연 나는 무슨 비정상 게임을 했다는 건가요? 계정 두개중에 네이버 계정이 정지됐는데, 접어도 이유나 알고 접읍시다..",5.0,56,2020-4-17
저는 V4한지5일 정도된것같은데요.패치를깔라고 공지문이 뜨더니 깔려는데 정의되지않은오류창이 뜨고 게임실행이 안되거든요..레벨42까지 열심히했는데 삭제해야되나 하는생각이 드네요.폰도 올해2월에만들어진 신상이라 문제가 없울듯한데 무슨문제 때문에 정의되지않은오류창이 뜨면서 게임실행이 안되는지 걱정되네요..여가는이것뿐인데....,5.0,138,2020-4-15
저가 원래 RPG 안좋아하는데 정말 컨텐츠도 많고 재미있는 게임입니다 저는 무과금유저인데 1번째로는 V4 넥슨캐시로 충전할수있도록 해주세요 그러면 무과금유저에게 조금이나마 도움이 될수있을꺼 같고 2번째로는 닉네임을 변경할수있도록 해주시면 좋겠습니다 . 아무토록 정말 수고하시고 재미있는게임인것같습니다,5.0,53,2020-4-17
