내용,평점,공감수,작성일
"왜 데이터,와이파이 화질 수동설정 중에 최고화질은 없는건가요?? 일단 OFF하고 쓰는데 방송에서 최고화질로 바꿔도 앱을 껐다키면 왜 다시 고화질로 고정되는건가요 수동설정도 OFF되어있는데? 이런 사소한 불편함이 자꾸 생기면 업데이트 하기가 두려워집니다..어떤 기능추가도 좋지만 제발 기본에 충실해주세요 부탁드립니다...이건 꼭 고쳐주세요 항상 최고화질로 보고싶어도 앱을 껐다가 다시들어올때마다 고화질에서 최고화질로 바꿔줘야해서 상당히 불편합니다",3.0,113,2020-6-11
광고 와 과 부하 오류가 제일 많은순위 베스트5 에들어 가고 락 을 걸어 놓거나 ( 사이트 안전명목 )실시 간 순간 광고 가 많 아서 그 병목 현상 으로 팅기 거나 과다 접속자 로 인한 과 부하 가 60% 서버 나 해저 케이블 렌 케이블 수리 미비가 40% 가 현실 임을 시청자 여러분 인정 아니 참고하세여 최신 장비 보강 과 프로 그램 업 데이트 보다 광고 업 데이트 만 하느라 연 일 고 생 하시는 아프리카 티비 관리자 여러분 화이팅,1.0,71,2020-6-17
잘 보고 있었는데 갑자기 홈 화면에서 멈춘채 아예 작동을 안 하네요 몇 번이나 지웠다 깔아도 안 되고요 와이파이 데이터 환경 문제는 아닌 거 같아요 다른 어플은 잘 되는데 갑자기 아프리카 모바일만 이러네요,1.0,29,2020-6-21
아프리카를 67년 봤는데 요번패치 이후로 처음으로 모바일 고화질영상에서 자꾸 끊기네요 이것만 고쳐주시면 앞으로도 계속 재밌게 볼 수 있을것같네요.,4.0,63,2020-6-9
한 번씩 뚝뚝 끊기는 현상이 너무 심해요. 화질 바꿔봐도 전부 똑같이 어플 자체가 뚝뚝 끊겨요. 이거 해결 안되나요?,4.0,7,2020-6-18
현재 안드로이드 사용중인데 방송을 보면서 실시간으로 다른 방송 탐색이 힘든 점이나 방송국 활동을 못하는 점 그런 부분이 너무 불편하네요 그리고 방송국 호환성이 너무 안좋은것 같아요,1.0,8,2020-6-28
"라디오로 asmr 틀어두고 많이 잘때 많이 씁니다. 라디오 모드 시 음악 어플처럼 시작, 정지 버튼이 있으면 젛겠고 이어폰을 제거하면 자동으로 노래가 꺼지면 좋겠습니다.",5.0,10,2020-6-18
녹화본을 보는데 자꾸 끊기길래 화질설정할려는데 할수가없어서 불편하네요 그래서 녹화본도 방송도 전혀 볼수가 없어요..,1.0,2,2020-6-20
"화질같은건 좋은데,버퍼링이 조금 심하네요(최고화질)할때마다...",3.0,1,2020-6-25
이번에 업데이트하고 앱을 껐다키면 최고화질이 아닌 계속 고화질로 방송에 들어가집니다. 설정에서도 방송에 들어갔을때 기본 화질 설정에 최고화질이 없고 최대 고화질로 되어있네요. 앱끄고 킬때마다 최고화질로 바꿔줘야하는게 불편합니다. 원래 안이랬는데 업데이트하면서 오류가 난것같네요 원래대로 돌려주시길 바랍니다,3.0,263,2020-4-30
"최근 업데이트 이후로 불편한 것이 2가지 생겼습니다. 1. 방송을 새로 들어갈 때 마다 최고화질(원본)이 아니라 고화질로 보여서 매번 새로 바꿔야 합니다. 2. BJ가 방송을 시작했다는 알림이 뜨고, 그 알림을 통해서 방송에 들어가면 방송이 켜지지 않습니다.",1.0,152,2020-5-13
계속 채널에 못 들어가고 오류가 많이 발생해요,3.0,0,2020-6-29
버그좀 고쳐라 이것만 돌리면 배터리. 녹아 내리고 발열 엄청 나다,2.0,1,2020-6-24
